LID,Glottocode,Language,Microrelation,Macrorelation,LocusOfMarkingComments,IsDefaultLocusOfMarking,LocusOfMarking,LocusOfMarkingBinned6,LocusOfMarkingBinned5,LocusOfMarkingCategoryCondition,LocusOfMarkingSyntacticDomainCondition,LocusOfMarkingSemanticDomainCondition
577,wich1260,Wichita,POSS-default,POSS,"No usable information on NP treatment.  See notes in Alienability, and log.2-20-05, after consulting Handbook vol. 17 (1996) sketch of Wichita and also comparing Arikara dictionary and Melnar 2004 on Caddo:  I suspect there is no such thing as an NP in this language.  Possessed NP's can be incorporated; body parts seem most prone to this in Caddo, but Parks 1996 illustrates Wichita with kin terms.  Incorporated as S/O, and possessor is raised to object (direct object if incorporated noun is S, dative, with applicative, if it's object -- that's in Caddo; in Wichita, maybe the same but both have applicatives). So I've changed Locus here from 28 (n.d.) to 16 (HH).  (Actually it's HHH: the incorporated noun, the raised possessor, and the applicative.)",TRUE,HH,H,H,,,
577,wich1260,Wichita,ATTR-default,ATTR,"True adjectives (small class: colors, ‘big’, ‘small’, ‘old’, and a few others) are suffixed to combining forms of nouns to form noun phrases (p. 12).  Maybe this is juxtaposition; or maybe, since the noun takes the combining form, it is head marking.  Most ‘adjectives’ are stative verb roots that are incorporated into ‘be’; they can be made into participles for attributive use.  These must presumably be dependent marking (the participle agrees in person with the head noun).",TRUE,,,,,,
577,wich1260,Wichita,ATTR-default,ATTR,"True adjectives (small class: colors, ‘big’, ‘small’, ‘old’, and a few others) are suffixed to combining forms of nouns to form noun phrases (p. 12).  Maybe this is juxtaposition; or maybe, since the noun takes the combining form, it is head marking.  Most ‘adjectives’ are stative verb roots that are incorporated into ‘be’; they can be made into participles for attributive use.  These must presumably be dependent marking (the participle agrees in person with the head noun).",FALSE,D,D,D,,,
378,tiwi1244,Tiwi,A-default,A,Role ID changed from 40 (former S/A) and to A and info. duplicated to create an S record.  JN 6-26-01,TRUE,H,H,H,,,
438,maib1239,Maybrat,S-default,S,Role ID changed from 40 (old S/A) and record duplicated to create separate S and A records. [JN 6-26-01],TRUE,H,H,H,,,
179,mart1255,Martuthunira,S-default,S,Role ID changed from 40 (former S/A) and info. duplicated to create separate S and A records.  JN 6-26-01,TRUE,D,D,D,,,
411,wasc1239,Wishram,S-default,S,,TRUE,H,H,H,,,
411,wasc1239,Wishram,A-default,A,,TRUE,H,H,H,,,
411,wasc1239,Wishram,U-default,P,,TRUE,H,H,H,,,
411,wasc1239,Wishram,B-default,P,"Object pronominal prefix followed by relational prefix.  I think this is something like an incorporated PP (though the relational prefix -- i.e. postposition -- doesn’t exist separately as an independent word).    Alternatively, it is IO pronominal plus a case marker -- though no case markers exist, and and there no such suffix form as this relational prefix.",TRUE,D on H,D on H,FloatingorClitic,,,
411,wasc1239,Wishram,POSS-default,POSS,,TRUE,H,H,H,,,
411,wasc1239,Wishram,ATTR-default,ATTR,I don’t think there’s an NP illustrated anywhere in the grammar.,TRUE,,,,,,
61,lowe1415,Dani (Lower Grand Valley),S-default,S,,TRUE,H,H,H,,,
61,lowe1415,Dani (Lower Grand Valley),A-default,A,,TRUE,H,H,H,,,
61,lowe1415,Dani (Lower Grand Valley),U-default,P,,TRUE,H,H,H,,,
61,lowe1415,Dani (Lower Grand Valley),B-default,P,"There is at least H marking.  There seems to be only one object; whether it is goal or patient is determined in part by the auxiliary (for verbs conjugated by auxiliary) (103ff.).  It seems to be a primary/secondary object language (that is, most of the auxiliaries take a primary object).",TRUE,H,H,H,,,
61,lowe1415,Dani (Lower Grand Valley),POSS-default,POSS,"van der Stap 1966:146-8, 150-151:Most possessive phrases take H.  Other kinds of ownership:  D.  Passim there are examples of N N (juxtaposition), e.g. (152)     hegin   isa     bee     thumb/leader     'queen bee'(This entry redone 8/4/2016.)",TRUE,H,H,H,,,
61,lowe1415,Dani (Lower Grand Valley),POSS-default,POSS,"van der Stap 1966:146-8, 150-151:Most possessive phrases take H.  Other kinds of ownership:  D.  Passim there are examples of N N (juxtaposition), e.g. (152)     hegin   isa     bee     thumb/leader     'queen bee'(This entry redone 8/4/2016.)",FALSE,D,D,D,,,
61,lowe1415,Dani (Lower Grand Valley),POSS-default,POSS,"van der Stap 1966:146-8, 150-151:Most possessive phrases take H.  Other kinds of ownership:  D.  Passim there are examples of N N (juxtaposition), e.g. (152)     hegin   isa     bee     thumb/leader     'queen bee'(This entry redone 8/4/2016.)",FALSE,Ø,Ø,Ø,,,
61,lowe1415,Dani (Lower Grand Valley),ATTR-default,ATTR,,TRUE,,,,,,
324,east2652,Oromo,S-default,S,Nominative case and verb subject agreement.,TRUE,H+D,2,2,,,
324,east2652,Oromo,A-default,A,Nominative case and verb subject agreement.,TRUE,H+D,2,2,,,
324,east2652,Oromo,U-default,P,“Absolutive” case (zero ending; marks objects).,TRUE,Ø,Ø,Ø,,,
324,east2652,Oromo,B-default,P,"“Absolutive” case (zero ending; marks objects).  Direct and indirect objects have the same morphological treatment (Owens 1985:167, 169) but some syntactic differences (e.g. passivization).",TRUE,Ø,Ø,Ø,,,
324,east2652,Oromo,POSS-default,POSS,See NP structure.  Genitive case of nouns is high tone on phrase-final word (not necessarily the possessor); pronouns have a special genitive form (plus the tone).,TRUE,F,F,FloatingorClitic,N,nominal,noun-like
324,east2652,Oromo,POSS-default,POSS,See NP structure.  Genitive case of nouns is high tone on phrase-final word (not necessarily the possessor); pronouns have a special genitive form (plus the tone).,FALSE,F+D,2,2,Pro,nominal,non-SAP
324,east2652,Oromo,ATTR-default,ATTR,"Adjective agrees in case and number with a noun in nom. or abs.  If the noun is in any other case there is a single phrase-final marker and no agreement.   (Owens 1985:87.)  [I don’t know what happens with plural number in the other cases, but plural number in adjectives is optional in any event: 88.]",TRUE,D,D,D,,,
324,east2652,Oromo,ATTR-default,ATTR,"Adjective agrees in case and number with a noun in nom. or abs.  If the noun is in any other case there is a single phrase-final marker and no agreement.   (Owens 1985:87.)  [I don’t know what happens with plural number in the other cases, but plural number in adjectives is optional in any event: 88.]",FALSE,Ø,Ø,Ø,,,
526,epen1239,Epena Pedee,S-default,S,,TRUE,D,D,D,,,
526,epen1239,Epena Pedee,A-default,A,,TRUE,D,D,D,,,
526,epen1239,Epena Pedee,U-default,P,,TRUE,D,D,D,,,
526,epen1239,Epena Pedee,B-default,P,[dative] case.  Harms 1994:67.,TRUE,D,D,D,,,
526,epen1239,Epena Pedee,ATTR-default,ATTR,[dative] case.  Harms 1994:67.,TRUE,Ø,Ø,Ø,,,
526,epen1239,Epena Pedee,POSS-default,POSS,[dative] case.  Harms 1994:67.,TRUE,Ø,Ø,Ø,,,
356,sout2985,Miwok (Southern Sierra),S-default,S,,TRUE,H+D,2,2,,,
356,sout2985,Miwok (Southern Sierra),A-default,A,,TRUE,H+D,2,2,,,
356,sout2985,Miwok (Southern Sierra),U-default,P,,TRUE,H+D,2,2,,,
356,sout2985,Miwok (Southern Sierra),B-default,P,"PO language.  Secondary object is in instrumental case [this fact recalled from memory], and does not trigger verb agreement.  See Broadbent 49-50.",TRUE,D,D,D,,,
356,sout2985,Miwok (Southern Sierra),POSS-default,POSS,,TRUE,H+D,2,2,,,
356,sout2985,Miwok (Southern Sierra),ATTR-default,ATTR,,TRUE,D,D,D,,,
568,sout2982,Pomo (Southeastern),S-default,S,,TRUE,D,D,D,,,
568,sout2982,Pomo (Southeastern),A-default,A,,TRUE,D,D,D,,,
568,sout2982,Pomo (Southeastern),U-default,P,,TRUE,D,D,D,,,
568,sout2982,Pomo (Southeastern),B-default,P,,TRUE,D,D,D,,,
568,sout2982,Pomo (Southeastern),POSS-default,POSS,,TRUE,D,D,D,,,
568,sout2982,Pomo (Southeastern),ATTR-default,ATTR,,TRUE,,,,,,
47,cayu1262,Cayuvava,S-default,S,"Actually, there may be something like an AN focus system.  See pp. 64-5:  proclitic ki- / k- / i- marks a word that is dependent on another, and indicates that it is not in focus (my analysis).  The examples on p. 64, and the transcribed text (70), indicate that this proclitic can go on nominals in various roles and there tends to be one per clause.",TRUE,H,H,H,,,
47,cayu1262,Cayuvava,A-default,A,,TRUE,H,H,H,,,
47,cayu1262,Cayuvava,U-default,P,Apparently.  -- May 2005 reassessment: maybe  ‚/h. [JN],TRUE,Ø,Ø,Ø,,,
47,cayu1262,Cayuvava,B-default,P,Apparently.,TRUE,,,,,,
47,cayu1262,Cayuvava,B-default,P,Apparently.,FALSE,D on H,D on H,FloatingorClitic,Pro,nominal,non-SAP
47,cayu1262,Cayuvava,POSS-default,POSS,,TRUE,H,H,H,,,
47,cayu1262,Cayuvava,ATTR-default,ATTR,p. 62,TRUE,Ø,Ø,Ø,,,
527,even1259,Evenki,S-default,S,,TRUE,H+D,2,2,,,
527,even1259,Evenki,A-default,A,,TRUE,H+D,2,2,,,
527,even1259,Evenki,U-default,P,,TRUE,D,D,D,,,
527,even1259,Evenki,B-default,P,,TRUE,D,D,D,,,
527,even1259,Evenki,POSS-default,POSS,,TRUE,H+D,2,2,,,
527,even1259,Evenki,ATTR-default,ATTR,Adj. agrees with noun in number and case (B & G 18).,TRUE,D,D,D,,,
357,squa1248,Squamish,A-default,A,Verb agreement and absolutive case.,TRUE,H+D,2,2,,,
357,squa1248,Squamish,S-default,S,Verb agreement and relative case.,TRUE,H+D,2,2,,,
357,squa1248,Squamish,U-default,P,Verb agreement and absolutive case.,TRUE,H+D,2,2,,,
357,squa1248,Squamish,B-default,P,,TRUE,,,,,,
357,squa1248,Squamish,POSS-default,POSS,,TRUE,H,H,H,N,nominal,noun-like
357,squa1248,Squamish,POSS-default,POSS,,FALSE,D,D,D,Pro,nominal,non-SAP
357,squa1248,Squamish,ATTR-default,ATTR,Not certain.  No discussion in grammar; ex. found in text (p. 219) (see 1988 worksheet).,TRUE,Ø,Ø,Ø,,,
428,yuro1248,Yurok,S-default,S,,TRUE,H,H,H,,,
428,yuro1248,Yurok,A-default,A,,TRUE,H,H,H,,,
428,yuro1248,Yurok,U-default,P,1 and 2 person pronouns have [accusative] form used when subject is 3rd person (p. 21).,TRUE,H,H,H,,,
428,yuro1248,Yurok,U-default,P,1 and 2 person pronouns have [accusative] form used when subject is 3rd person (p. 21).,FALSE,H+d,2,H,SAP,nominal,SAP
428,yuro1248,Yurok,B-default,P,,TRUE,,,,,,
428,yuro1248,Yurok,ATTR-default,ATTR,,TRUE,,,,,,
428,yuro1248,Yurok,POSS-default,POSS,,TRUE,H,H,H,,,
469,awac1239,Awa Pit,S-default,S,"There is associative agreement, and agreement is for conjunct person, and the categories in the past tense are Locutor Subject and Locutor Undergoer.  I believe that for most 2-place verb forms at least in the past tense the identity of both subject and object (PO) are likely to be clear in context, so I code everything as double-marked.  However, there is only one person agreement marker per verb form.  Also, this decision is debatable for noun arguments; they are only third person, i.e. non-locutor, so object identity wouldn’t be clear from the verb form.",TRUE,h+D,2,D,,,
469,awac1239,Awa Pit,A-default,A,"There is associative agreement, and agreement is for conjunct person, and the categories in the past tense are Locutor Subject and Locutor Undergoer.  I believe that for most 2-place verb forms at least in the past tense the identity of both subject and object (PO) are likely to be clear in context, so I code everything as double-marked.  However, there is only one person agreement marker per verb form.  Also, this decision is debatable for noun arguments; they are only third person, i.e. non-locutor, so object identity wouldn’t be clear from the verb form.",TRUE,h+D,2,D,,,
469,awac1239,Awa Pit,U-default,P,"There is associative agreement, and agreement is for conjunct person, and the categories in the past tense are Locutor Subject and Locutor Undergoer.  I believe that for most 2-place verb forms at least in the past tense the identity of both subject and object (PO) are likely to be clear in context, so I code everything as double-marked.  However, there is only one person agreement marker per verb form.  Also, this decision is debatable for noun arguments; they are only third person, i.e. non-locutor, so object identity wouldn’t be clear from the verb form.",TRUE,h+D,2,D,,,
469,awac1239,Awa Pit,B-default,P,"There is associative agreement, and agreement is for conjunct person, and the categories in the past tense are Locutor Subject and Locutor Undergoer.  I believe that for most 2-place verb forms at least in the past tense the identity of both subject and object (PO) are likely to be clear in context, so I code everything as double-marked.  However, there is only one person agreement marker per verb form.  Also, this decision is debatable for noun arguments; they are only third person, i.e. non-locutor, so object identity wouldn’t be clear from the verb form.",TRUE,h+D,2,D,,,
469,awac1239,Awa Pit,POSS-default,POSS,"On nouns only if referential.  On singular pronouns (and singular can be used instead of plural of the same number; otherwise, plural is used in the nominative).",TRUE,d,D,D,,,
469,awac1239,Awa Pit,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
205,nene1249,Nenets (Tundra),S-default,S,,TRUE,H+D,2,2,,,
205,nene1249,Nenets (Tundra),A-default,A,,TRUE,H+D,2,2,,,
205,nene1249,Nenets (Tundra),U-default,P,Object agreement limited by referential conditions (only when the verb bears logical stress: Tereschenko 1965:894).,TRUE,h+D,2,D,,,
205,nene1249,Nenets (Tundra),B-default,P,,TRUE,D,D,D,,,
205,nene1249,Nenets (Tundra),POSS-default,POSS,"Apparently split by part of speech:  H for pronoun possessor, D for noun (but I haven’t seen an explicit statement on this).",TRUE,D,D,D,N,nominal,noun-like
205,nene1249,Nenets (Tundra),POSS-default,POSS,"Apparently split by part of speech:  H for pronoun possessor, D for noun (but I haven’t seen an explicit statement on this).",FALSE,H,H,H,Pro,nominal,non-SAP
205,nene1249,Nenets (Tundra),ATTR-default,ATTR,Number agreement.,TRUE,D,D,D,,,
518,brah1256,Brahui,S-default,S,,TRUE,H+D,2,2,,,
518,brah1256,Brahui,A-default,A,,TRUE,H+D,2,2,,,
518,brah1256,Brahui,U-default,P,,TRUE,D,D,D,,,
518,brah1256,Brahui,B-default,P,,TRUE,D,D,D,,,
518,brah1256,Brahui,T-default,P,,TRUE,D,D,D,,,
518,brah1256,Brahui,POSS-default,POSS,,TRUE,D,D,D,,,
518,brah1256,Brahui,ATTR-default,ATTR,Linking article (definite or indefinite) appare4ntly obligatory on adjectives,TRUE,D,D,D,,,
375,tibe1272,Tibetan (Standard Spoken),S-default,S,Changed 7-6-2001 (BB/jn); was D.,TRUE,h+D,2,D,,,
375,tibe1272,Tibetan (Standard Spoken),POSS-default,POSS,,TRUE,D,D,D,,,
375,tibe1272,Tibetan (Standard Spoken),ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
59,plai1258,Cree (Plains),POSS-default,POSS,,TRUE,H,H,H,,,
512,apur1254,Apurina,POSS-default,POSS,,TRUE,h,H,H,,,
414,yagu1244,Yagua,S-default,S,"Default occurs with SV order, alternate with VS.",TRUE,H,H,H,,,
414,yagu1244,Yagua,S-default,S,"Default occurs with SV order, alternate with VS.",FALSE,Ø,Ø,Ø,,,
414,yagu1244,Yagua,A-default,A,"Default occurs with AV order, alternate with VA.",TRUE,H,H,H,,,
414,yagu1244,Yagua,A-default,A,"Default occurs with AV order, alternate with VA.",FALSE,Ø,Ø,Ø,,,
414,yagu1244,Yagua,U-default,P,DOM; f is in agreement with a more or less definite object.,TRUE,f,F,FloatingorClitic,,,
414,yagu1244,Yagua,U-default,P,DOM; f is in agreement with a more or less definite object.,FALSE,Ø,Ø,Ø,,,
414,yagu1244,Yagua,B-default,P,"DOM; f is in agreement with a more or less definite object.I’m not at all sure the U and B markers can both cooccur on the same verb form. [JN]",TRUE,f,F,FloatingorClitic,,,
414,yagu1244,Yagua,B-default,P,"DOM; f is in agreement with a more or less definite object.I’m not at all sure the U and B markers can both cooccur on the same verb form. [JN]",FALSE,Ø,Ø,Ø,,,
414,yagu1244,Yagua,POSS-default,POSS,"First person singular only (and optionally) can use juxtaposition.H is caseless pronoun cliticized to the head.",TRUE,H,H,H,,,
414,yagu1244,Yagua,POSS-default,POSS,"First person singular only (and optionally) can use juxtaposition.H is caseless pronoun cliticized to the head.",FALSE,Ø,Ø,Ø,1PERS,nominal,SAP
414,yagu1244,Yagua,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
535,nucl1305,Kannada,S-default,S,,TRUE,H+D,2,2,,,
535,nucl1305,Kannada,A-default,A,,TRUE,H+D,2,2,,,
535,nucl1305,Kannada,U-default,P,,TRUE,D,D,D,,,
535,nucl1305,Kannada,B-default,P,,TRUE,D,D,D,,,
535,nucl1305,Kannada,POSS-default,POSS,,TRUE,D,D,D,,,
535,nucl1305,Kannada,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
525,ekar1243,Ekari,S-default,S,,TRUE,H,H,H,,,
525,ekar1243,Ekari,A-default,A,,TRUE,H,H,H,,,
525,ekar1243,Ekari,U-default,P,,TRUE,H,H,H,,,
525,ekar1243,Ekari,B-default,P,,TRUE,H,H,H,,,
525,ekar1243,Ekari,POSS-default,POSS,"Default 10 is for pronouns.  Grammar sketch does not mention nouns, but I suspect they may have case words.",TRUE,Ø,Ø,Ø,,,
525,ekar1243,Ekari,POSS-default,POSS,"Default 10 is for pronouns.  Grammar sketch does not mention nouns, but I suspect they may have case words.",FALSE,H,H,H,,,
20,amel1241,Amele,POSS-default,POSS,"hh:  inalienables have possessive suffix, and in addition some of them have reduplication of the first syllable.",TRUE,D,D,D,N-alien,nominal,noun-like
20,amel1241,Amele,POSS-default,POSS,"hh:  inalienables have possessive suffix, and in addition some of them have reduplication of the first syllable.",FALSE,hh,H,H,N-inal,nominal,noun-like
20,amel1241,Amele,S-default,S,"The “h” is an optional pronoun copy.  Pronouns have no inflection, so the pronoun copy is not D on H.",TRUE,H,H,H,,,
20,amel1241,Amele,S-default,S,"The “h” is an optional pronoun copy.  Pronouns have no inflection, so the pronoun copy is not D on H.",FALSE,HH,H,H,,,
20,amel1241,Amele,A-default,A,"The “h” is an optional pronoun copy.  Pronouns have no inflection, so the pronoun copy is not D on H.",TRUE,H,H,H,,,
20,amel1241,Amele,A-default,A,"The “h” is an optional pronoun copy.  Pronouns have no inflection, so the pronoun copy is not D on H.",FALSE,HH,H,H,,,
20,amel1241,Amele,U-default,P,There is deponence in verbs.  Some must have a DO suffix (whether or  not the clause has a DO); these I gather agree with the actual DO if there is one.  Some have a DO suffix only if there is an animate DO.  Some never have a DO suffix (even if the clause contains a DO).  Thus the verb class determines whether there is actual marking of the DO on the verb.,TRUE,h,H,H,,,
20,amel1241,Amele,B-default,P,B suffix precedes person-number U suffix.,TRUE,H,H,H,,,
20,amel1241,Amele,ATTR-default,ATTR,Roberts 1987:87.    Word order:  N + Adj.,TRUE,Ø,Ø,Ø,,,
43,cane1242,Canela-Krahô,S-default,S,,TRUE,H,H,H,,,
43,cane1242,Canela-Krahô,A-default,A,,TRUE,Ø,Ø,Ø,,,
43,cane1242,Canela-Krahô,U-default,P,,TRUE,H,H,H,,,
43,cane1242,Canela-Krahô,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
43,cane1242,Canela-Krahô,B-default,P,"Postposition on the B.  I believe it is a syntactic word, as it takes inalienable possessive prefixation when its object is a pronoun.  (To judge from examples, this prefixation cannot double an independent pronoun.)",TRUE,D,D,D,,,
43,cane1242,Canela-Krahô,POSS-default,POSS,"Genitive particle (isolating formative) for alienable possession.Pronominal prefix, or juxtaposition for nouns, for inalienable possession.",TRUE,D,D,D,,,
43,cane1242,Canela-Krahô,POSS-default,POSS,"Genitive particle (isolating formative) for alienable possession.Pronominal prefix, or juxtaposition for nouns, for inalienable possession.",FALSE,H,H,H,,,
43,cane1242,Canela-Krahô,POSS-default,POSS,"Genitive particle (isolating formative) for alienable possession.Pronominal prefix, or juxtaposition for nouns, for inalienable possession.",FALSE,Ø,Ø,Ø,,,
125,karo1304,Karok,S-default,S,,TRUE,H,H,H,,,
125,karo1304,Karok,A-default,A,A takes a postposition if the object is animate and only pronominal (on the verb) (i.e. no overt object NP in the clause).   (Bright 1957:129),TRUE,H,H,H,,,
125,karo1304,Karok,A-default,A,A takes a postposition if the object is animate and only pronominal (on the verb) (i.e. no overt object NP in the clause).   (Bright 1957:129),FALSE,H+d,2,H,,,
125,karo1304,Karok,U-default,P,,TRUE,H,H,H,,,
125,karo1304,Karok,B-default,P,"Appears to be primary object language (I surveyed ‘give’ in the dictionary and looked for other 3-place verbs, and looked through a couple of the texts).",TRUE,,,,,,
125,karo1304,Karok,POSS-default,POSS,,TRUE,H,H,H,,,
125,karo1304,Karok,ATTR-default,ATTR,No discussion of NP’s with adjectives.  Adjectives appear to be verbs.  The alternate construction is NP with demonstrative.,TRUE,,,,,,
125,karo1304,Karok,ATTR-default,ATTR,No discussion of NP’s with adjectives.  Adjectives appear to be verbs.  The alternate construction is NP with demonstrative.,FALSE,Ø,Ø,Ø,,,
571,cent2194,Tamazight (Ayt Ndhir),S-default,S,"Verb prefix or suffix (position split depending on person) and case (“construct” state, actually an anti-construct) on the noun.",TRUE,H+D,2,2,,,
571,cent2194,Tamazight (Ayt Ndhir),A-default,A,,TRUE,H+D,2,2,,,
571,cent2194,Tamazight (Ayt Ndhir),U-default,P,"Case of noun (D locus) is normal state (and not “construct” state, which is actually an anti-construct).D on H is enclitic pronoun.",TRUE,D,D,D,,,
571,cent2194,Tamazight (Ayt Ndhir),U-default,P,"Case of noun (D locus) is normal state (and not “construct” state, which is actually an anti-construct).D on H is enclitic pronoun.",FALSE,D on H,D on H,FloatingorClitic,Pro,nominal,non-SAP
571,cent2194,Tamazight (Ayt Ndhir),B-default,P,"D marking on nouns is a preposition (proclitic, so the PP is D on H).D on H is preposition plus pronoun enclitic to the verb.",TRUE,D,D,D,,,
571,cent2194,Tamazight (Ayt Ndhir),B-default,P,"D marking on nouns is a preposition (proclitic, so the PP is D on H).D on H is preposition plus pronoun enclitic to the verb.",FALSE,D on H,D on H,FloatingorClitic,Pro,nominal,non-SAP
571,cent2194,Tamazight (Ayt Ndhir),POSS-default,POSS,"Possessive case (neutral).Anti-construct on inalienables;  D on H for kin terms (pp. 65-6).",TRUE,D,D,D,,,
571,cent2194,Tamazight (Ayt Ndhir),POSS-default,POSS,"Possessive case (neutral).Anti-construct on inalienables;  D on H for kin terms (pp. 65-6).",FALSE,D,D,D,N-inal,nominal,noun-like
571,cent2194,Tamazight (Ayt Ndhir),POSS-default,POSS,"Possessive case (neutral).Anti-construct on inalienables;  D on H for kin terms (pp. 65-6).",FALSE,D on H,D on H,FloatingorClitic,,,
101,hixk1239,Hixkaryana,S-default,S,,TRUE,H,H,H,,,
101,hixk1239,Hixkaryana,A-default,A,Fused subject-object prefix.,TRUE,H,H,H,,,
101,hixk1239,Hixkaryana,U-default,P,Fused subject-object prefix.,TRUE,H,H,H,,,
101,hixk1239,Hixkaryana,B-default,P,Postposition.  (Derbyshire 1979:88),TRUE,D,D,D,,,
101,hixk1239,Hixkaryana,POSS-default,POSS,,TRUE,H,H,H,,,
101,hixk1239,Hixkaryana,ATTR-default,ATTR,Attributives are not frequent.,TRUE,Ø,Ø,Ø,,,
162,lezg1247,Lezgi,S-default,S,,TRUE,D,D,D,,,
162,lezg1247,Lezgi,A-default,A,,TRUE,D,D,D,,,
162,lezg1247,Lezgi,U-default,P,,TRUE,D,D,D,,,
162,lezg1247,Lezgi,B-default,P,,TRUE,D,D,D,,,
162,lezg1247,Lezgi,POSS-default,POSS,,TRUE,D,D,D,,,
499,buki1249,Bukiyip,S-default,S,,TRUE,H,H,H,,,
499,buki1249,Bukiyip,A-default,A,,TRUE,H,H,H,,,
499,buki1249,Bukiyip,U-default,P,,TRUE,H,H,H,,,
499,buki1249,Bukiyip,B-default,P,,TRUE,H,H,H,,,
499,buki1249,Bukiyip,POSS-default,POSS,,TRUE,DD,D,D,,,
511,kala1399,Greenlandic Eskimo (West),S-default,S,No abs/rel distinction in 1st and 2nd personal pronouns.,TRUE,H+D,2,2,,,
511,kala1399,Greenlandic Eskimo (West),S-default,S,No abs/rel distinction in 1st and 2nd personal pronouns.,FALSE,H,H,H,SAP,nominal,SAP
511,kala1399,Greenlandic Eskimo (West),A-default,A,No abs/rel distinction in 1st and 2nd personal pronouns.,TRUE,H+D,2,2,,,
511,kala1399,Greenlandic Eskimo (West),A-default,A,No abs/rel distinction in 1st and 2nd personal pronouns.,FALSE,H,H,H,SAP,nominal,SAP
511,kala1399,Greenlandic Eskimo (West),U-default,P,No abs/rel distinction in 1st and 2nd personal pronouns.,TRUE,H+D,2,2,,,
511,kala1399,Greenlandic Eskimo (West),U-default,P,No abs/rel distinction in 1st and 2nd personal pronouns.,FALSE,H,H,H,SAP,nominal,SAP
511,kala1399,Greenlandic Eskimo (West),B-default,P,,TRUE,D,D,D,,,
511,kala1399,Greenlandic Eskimo (West),POSS-default,POSS,,TRUE,H+D,2,2,,,
642,egyp1253,Arabic (Egyptian),S-default,S,,TRUE,H,H,H,,,
642,egyp1253,Arabic (Egyptian),A-default,A,,TRUE,H,H,H,,,
642,egyp1253,Arabic (Egyptian),U-default,P,,TRUE,Ø,Ø,Ø,N,nominal,noun-like
642,egyp1253,Arabic (Egyptian),U-default,P,,FALSE,D on H,D on H,FloatingorClitic,Pro,nominal,non-SAP
642,egyp1253,Arabic (Egyptian),B-default,P,,TRUE,D,D,D,N,nominal,noun-like
642,egyp1253,Arabic (Egyptian),B-default,P,,FALSE,D on H,D on H,FloatingorClitic,Pro,nominal,non-SAP
642,egyp1253,Arabic (Egyptian),POSS-default,POSS,"H is default treatment of Pro and D is non-default, apparently.",TRUE,Ø,Ø,Ø,N,nominal,noun-like
642,egyp1253,Arabic (Egyptian),POSS-default,POSS,"H is default treatment of Pro and D is non-default, apparently.",FALSE,H,H,H,Pro,nominal,non-SAP
642,egyp1253,Arabic (Egyptian),POSS-default,POSS,"H is default treatment of Pro and D is non-default, apparently.",FALSE,D,D,D,Pro,nominal,non-SAP
491,mala1537,Malagasy,S-default,S,,TRUE,H+F,H,H,,,
491,mala1537,Malagasy,A-default,A,,TRUE,H+F,H,H,,,
491,mala1537,Malagasy,U-default,P,,TRUE,d,D,D,,,
491,mala1537,Malagasy,U-default,P,,FALSE,D,D,D,Pro,nominal,non-SAP
491,mala1537,Malagasy,B-default,P,,TRUE,d,D,D,,,
491,mala1537,Malagasy,B-default,P,,FALSE,D,D,D,Pro,nominal,non-SAP
491,mala1537,Malagasy,POSS-default,POSS,,TRUE,f,F,FloatingorClitic,N-proper&kin,nominal,noun-like
491,mala1537,Malagasy,POSS-default,POSS,,FALSE,H,H,H,Pro,nominal,non-SAP
495,kron1241,Krongo,A-default,A,,TRUE,H,H,H,,,
495,kron1241,Krongo,S-default,S,,TRUE,H,H,H,,,
495,kron1241,Krongo,B-default,P,,TRUE,D,D,D,,,
495,kron1241,Krongo,U-default,P,,TRUE,P,,,,,
495,kron1241,Krongo,POSS-default,POSS,,TRUE,D,D,D,,,
495,kron1241,Krongo,ATTR-default,ATTR,gender agreement,TRUE,D,D,D,,,
583,hebr1245,Hebrew (Modern),S-default,S,,TRUE,H,H,H,,,
583,hebr1245,Hebrew (Modern),A-default,A,,TRUE,H,H,H,,,
583,hebr1245,Hebrew (Modern),U-default,P,,TRUE,D on H,D on H,FloatingorClitic,,,
583,hebr1245,Hebrew (Modern),ATTR-default,ATTR,"Agreement in gender, number and definiteness",TRUE,D,D,D,,,
583,hebr1245,Hebrew (Modern),POSS-default,POSS,"Unclear what’s the default. I take the prepositional genitive (shel) and not the construct state to be the default because it has the least Part of Speech restrictions. Construct state ony occurs with nominal possessor; pronouns are marked by headward migrated clitics. And construct states are not available for all nouns, not eg for may loanwords, and not for pronouns (‘something of wood’) and not for proper names (‘France of the days/ nowadays’)",TRUE,D,D,D,N_or_Pro,nominal,noun-like
583,hebr1245,Hebrew (Modern),POSS-default,POSS,"Unclear what’s the default. I take the prepositional genitive (shel) and not the construct state to be the default because it has the least Part of Speech restrictions. Construct state ony occurs with nominal possessor; pronouns are marked by headward migrated clitics. And construct states are not available for all nouns, not eg for may loanwords, and not for pronouns (‘something of wood’) and not for proper names (‘France of the days/ nowadays’)",FALSE,H,H,H,N,nominal,noun-like
