"LID","Language","Stock","LowestSubBranch","MajorBranch","QuasiStock","SubBranch","LanguageAlternativeNames","Genesis","Longitude","Latitude","NearProtoHomeland","Modality","LocalRegion","SubSubBranch","StockAlternativeName","StockAllNames","LanguageAllNames","Subsistence","ISO639.3","Glottocode.2014","Glottocode","OriginContinent","Continent","Area","Macrocontinent"
937,"Aulua","Austronesian","Central Vanuatu linkage","Malayo-Polynesian",,"Oceanic","Aulua","regular",167.67,-16.33,"FALSE","spoken",,"Southern Oceanic linkage",,,"Aulua, Aulua",,"aul","aulu1238","aulu1238","Eurasia","NG and Oceania","Oceania","Pacific"
938,"One","Torricelli",,,"Torricelli-Lower Sepik",,"One","regular",141.92,-3.25,"FALSE","spoken",,,,"Torricelli","One, One","hunting/fishing/foraging","aun","molm1235","molm1235","Pacific","NG and Oceania","N Coast New Guinea","Pacific"
939,"Awyi","Border",,"Taikat",,,"Awyi","regular",140.58,-2.92,"FALSE","spoken",,,,,"Awyi, Awyi","agricultural/pastoral","auw","awyi1241","awyi1241","Pacific","NG and Oceania","N Coast New Guinea","Pacific"
940,"Auyana","Eastern Highlands",,"Kainantu","East New Guinea Highlands",,"Auyana, Awiyaana","regular",145.75,-6.5,"FALSE","spoken",,,,,"Auyana, Auyana, Awiyaana",,"auy","awiy1238","awiy1238","Pacific","NG and Oceania","Interior New Guinea","Pacific"
941,"Avatime","Kwa",,"Ka-Togo","Niger-Congo",,"Avatime","regular",0.42,6.83,"FALSE","spoken",,,,,"Avatime, Avatime",,"avn","avat1244","avat1244","Africa","Africa","African Savannah","Africa"
942,"Avar","Nakh-Daghestanian",,"Daghestanian",,"Avar-Andic","Avar, Avaro, Avari","regular",46.7,42.54,"FALSE","spoken","Caucasus","Avar",,,"Avar, Avar, Avaro, Avari",,"ava","avar1256","avar1256","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
943,"Au","Torricelli",,"Wapei-Palei","Torricelli-Lower Sepik",,"Au","regular",142.08,-3.58,"FALSE","spoken",,,,,"Au, Au","agricultural/pastoral","avt","auuu1241","auuu1241","Pacific","NG and Oceania","N Coast New Guinea","Pacific"
944,"Avokaya","Eastern Central Sudanic",,"Moru-Madi","Central Sudanic",,"Avokaya","regular",30,4.67,"FALSE","spoken",,,,,"Avokaya, Avokaya",,"avu","avok1242","avok1242","Africa","Africa","African Savannah","Africa"
945,"Awa","Eastern Highlands",,"Kainantu","East New Guinea Highlands",,"Awa","regular",145.75,-6.67,"FALSE","spoken",,,,,"Awa, Awa",,"awb","awap1236","awap1236","Pacific","NG and Oceania","Interior New Guinea","Pacific"
946,"Awadhi","Indo-European",,"Indo-Iranian","Indo-Uralic","Indo-Aryan","Awadhi","regular",81.5,27,"FALSE","spoken",,"Central Indo-Aryan",,,"Awadhi, Awadhi",,"awa","awad1243","awad1243","Eurasia","S/SE Asia","Indic","Eurasia"
947,"Awin","Awin-Pare",,,,,"Awin","regular",141.42,-5.75,"FALSE","spoken",,,,"Awin-Pare","Awin, Awin",,"awi","aeky1238","aeky1238","Pacific","NG and Oceania","S New Guinea","Pacific"
948,"Awngi","Cushitic",,"Central Cushitic","Afroasiatic",,"Awngi, Agau, Agaw, Agew, Agow, Awawar, Awi, Awiya, Damot, Kwollanyoch, Dialects: Kunfal (Kumfel, Kunfäl, Kunfel), Kemantney","regular",36.67,10.83,"FALSE","spoken",,,,,"Awngi, Awngi, Agau, Agaw, Agew, Agow, Awawar, Awi, Awiya, Damot, Kwollanyoch, Dialects: Kunfal (Kumfel, Kunfäl, Kunfel), Kemantney",,"awn","awng1244","awng1244","Africa","Africa","Greater Abyssinia","Africa"
949,"Aka","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Aka","regular",16.25,2.67,"FALSE","spoken",,,,,"Aka, Aka","hunting/fishing/foraging","axk","yaka1272","yaka1272","Africa","Africa","S Africa","Africa"
951,"Arabic (Eastern Libyan)","Semitic","Arabic","West Semitic","Afroasiatic","Central (West Semitic)","Arabic (Eastern Libyan)","regular",22,32,"FALSE","spoken",,"South-Central Semitic",,,"Arabic (Eastern Libyan), Arabic (Eastern Libyan)",,"ayl","liby1240","liby1240","Africa","Africa","N Africa","Africa"
952,"Arabic (San'ani)","Semitic","Arabic","West Semitic","Afroasiatic","Central (West Semitic)","Arabic (San'ani)","regular",44,16,"FALSE","spoken",,"South-Central Semitic",,,"Arabic (San'ani), Arabic (San'ani)",,"ayn","sana1295","sana1295","Africa","W and SW Eurasia","Greater Mesopotamia","Eurasia"
953,"Ayoreo","Zamucoan",,,,,"Ayoreo","regular",-59.25,-20.25,"FALSE","spoken",,,,"Zamucoan","Ayoreo, Ayoreo","agricultural/pastoral","ayo","ayor1240","ayor1240","South America","S America","SE South America","Americas"
954,"Azari (Iranian)","Turkic",,"Common Turkic","Altaic","Oghuz","Azerbaijani (South),Azari (Iranian)","regular",47,37.5,"FALSE","spoken",,,,,"Azari (Iranian), Azerbaijani (South),Azari (Iranian)",,"azb","sout2697","sout2697","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
955,"Adzera","Austronesian","North New Guinea linkage","Malayo-Polynesian",,"Oceanic","Adzera","regular",146.25,-6.25,"FALSE","spoken",,"Western Oceanic linkage",,,"Adzera, Adzera",,"azr","adze1240","adze1240","Eurasia","NG and Oceania","N Coast New Guinea","Pacific"
956,"Nahuatl (Sierra de Zacapoaxtla)","Uto-Aztecan",,"Southern Uto-Aztecan",,"Aztecan","Nahuatl (Sierra de Zacapoaxtla), Náhuat de la Sierra de Puebla, Sierra Puebla Náhuatl Sierra Aztec, Zacapoaxtla Náhuat, Mejicano de Zacapoaxtla","regular",-97.33,19.58,"FALSE","spoken",,,,,"Nahuatl (Sierra de Zacapoaxtla), Nahuatl (Sierra de Zacapoaxtla), Náhuat de la Sierra de Puebla, Sierra Puebla Náhuatl Sierra Aztec, Zacapoaxtla Náhuat, Mejicano de Zacapoaxtla",,"azz","high1278","high1278","North America","C America","Mesoamerica","Americas"
957,"Basaa","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Basaa","regular",10.5,3.92,"FALSE","spoken",,,,,"Basaa, Basaa",,"bas","basa1284","basa1284","Africa","Africa","African Savannah","Africa"
958,"Baré","Arawakan",,"North Amazonian",,,"Bare,Baré","regular",-64,-0.33,"FALSE","spoken",,,,,"Baré, Bare,Baré",,"bae","bare1276","bare1276","South America","S America","NE South America","Americas"
959,"Tuki","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Tuki","regular",11.5,4.58,"FALSE","spoken",,,,,"Tuki, Tuki",,"bag","tuki1240","tuki1240","Africa","Africa","African Savannah","Africa"
960,"Baniwa","Arawakan",,"North Amazonian",,,"Baniwa","regular",-66.83,2.67,"FALSE","spoken",,,,,"Baniwa, Baniwa",,"bwi","bani1255","bani1255","South America","S America","NE South America","Americas"
961,"Yemba","Benue-Congo",,"Bantoid","Niger-Congo",,"Yemba","regular",10.08,5.42,"FALSE","spoken",,,,,"Yemba, Yemba",,"ybb","yemb1246","yemb1246","Africa","Africa","African Savannah","Africa"
962,"Barasano (Northern)","Tucánoan",,,,,"Barasano (Northern)","regular",-70.25,0.33,"FALSE","spoken",,,,"Tucánoan","Barasano (Northern), Barasano (Northern)",,"bao","waim1255","waim1255","South America","S America","NE South America","Americas"
963,"German (Bavarian)","Indo-European",,"Germanic","Indo-Uralic","West Germanic","German (Bavarian)","regular",11.5,49,"FALSE","spoken",,,,,"German (Bavarian), German (Bavarian)",,"bar","bava1246","bava1246","Eurasia","W and SW Eurasia","Europe","Eurasia"
964,"Mbili","Benue-Congo",,"Bantoid","Niger-Congo","Grassfields Bantu","Mbili","regular",10.2,6.12,"FALSE","spoken",,,,,"Mbili, Mbili",,"baw","bamb1266","bamb1266","Africa","Africa","African Savannah","Africa"
965,"Bamun","Benue-Congo",,"Bantoid","Niger-Congo","Grassfields Bantu","Bamun, Bamoun","regular",10.92,5.5,"FALSE","spoken",,,,,"Bamun, Bamun, Bamoun",,"bax","bamu1253","bamu1253","Africa","Africa","African Savannah","Africa"
966,"Tunen","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Tunen","regular",10.67,4.75,"FALSE","spoken",,,,,"Tunen, Tunen",,"tvu","tune1261","tune1261","Africa","Africa","African Savannah","Africa"
967,"Bariba","Gur",,,"Niger-Congo",,"Bariba","regular",2.5,10,"FALSE","spoken",,,"Voltaic","Gur, Voltaic","Bariba, Bariba",,"bba","baat1238","baat1238","Africa","Africa","African Savannah","Africa"
968,"Batak (Toba)","Austronesian",,"Malayo-Polynesian",,,"Batak (Toba), Toba Batak, Batta","regular",99,2.5,"FALSE","spoken",,"Northwest Sumatra-Barrier Islands",,,"Batak (Toba), Batak (Toba), Toba Batak, Batta",,"bbc","bata1289","bata1289","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
969,"Bau","Madang",,"Croisilles",,"Mabuso","Bau","regular",145.62,-5.25,"FALSE","spoken",,,,,"Bau, Bau",,"bbd","bauu1244","bauu1244","Pacific","NG and Oceania","N Coast New Guinea","Pacific"
970,"Tsova-Tush","Nakh-Daghestanian",,"Nakh",,"Tsova-Tush","Tsova-Tush, Bats, Batsbi","regular",45.5,42.5,"FALSE","spoken","Caucasus",,,,"Tsova-Tush, Tsova-Tush, Bats, Batsbi",,"bbl","bats1242","bats1242","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
971,"Bali-Vitu","Austronesian","Meso-Melanesian linkage","Malayo-Polynesian",,"Oceanic","Bali-Vitu, Bali, Vitu","regular",149.12,-4.9,"FALSE","spoken",,"Western Oceanic linkage",,,"Bali-Vitu, Bali-Vitu, Bali, Vitu",,"bbn","unea1237","unea1237","Eurasia","NG and Oceania","N Coast New Guinea","Pacific"
972,"Bobo Fing","Mande",,"West Mande","Macro-Niger-Congo",,"Bobo Fing","regular",-4.42,11.83,"FALSE","spoken",,,,,"Bobo Fing, Bobo Fing",,"bbo","nort2819","nort2819","Africa","Africa","African Savannah","Africa"
973,"Sisiqa","Austronesian","Meso-Melanesian linkage","Malayo-Polynesian",,"Oceanic","Sisiqa, Sisingga, Sengga","regular",156.83,-7,"FALSE","spoken",,"Western Oceanic linkage",,,"Sisiqa, Sisiqa, Sisingga, Sengga",,"baa","baba1268","baba1268","Eurasia","NG and Oceania","Oceania","Pacific"
974,"Baule","Kwa",,"Potou-Tano","Niger-Congo",,"Baule","regular",-5,7,"FALSE","spoken",,,,,"Baule, Baule",,"bci","baou1238","baou1238","Africa","Africa","African Savannah","Africa"
975,"Bardi","Nyulnyulan",,,,,"Bardi","regular",122.92,-16.58,"FALSE","spoken",,,,"Nyulnyulan","Bardi, Bardi","hunting/fishing/foraging","bcj","bard1255","bard1255","Australia","Australia","N Australia","Pacific"
976,"Bunuba","Bunuban",,,,,"Bunuba","regular",125.75,-17.75,"FALSE","spoken",,,"Bunaban","Bunuban, Bunaban","Bunuba, Bunuba","hunting/fishing/foraging","bck","buna1275","buna1275","Australia","Australia","N Australia","Pacific"
977,"Banoni","Austronesian","Meso-Melanesian linkage","Malayo-Polynesian",,"Oceanic","Banoni","regular",155.25,-6.42,"FALSE","spoken",,"Western Oceanic linkage",,,"Banoni, Banoni",,"bcm","bann1247","bann1247","Eurasia","NG and Oceania","Oceania","Pacific"
978,"Kaluli","Bosavi",,,,,"Kaluli","regular",142.75,-6.5,"FALSE","spoken",,,,"Bosavi","Kaluli, Kaluli","agricultural/pastoral","bco","kalu1248","kalu1248","Pacific","NG and Oceania","S New Guinea","Pacific"
979,"Gimira","Omotic",,,"Afroasiatic",,"Gimira","regular",35.75,7,"FALSE","spoken",,,,"Omotic","Gimira, Gimira",,"bcq","benc1235","benc1235","Africa","Africa","Greater Abyssinia","Africa"
980,"Kohumono","Benue-Congo",,"Cross River","Niger-Congo",,"Kohumono","regular",8.12,6,"FALSE","spoken",,,,,"Kohumono, Kohumono",,"bcs","kohu1244","kohu1244","Africa","Africa","African Savannah","Africa"
981,"Bana","Chadic",,"Biu-Mandara (Central Chadic)","Afroasiatic",,"Bana","regular",13.58,10.42,"FALSE","spoken",,,,,"Bana, Bana",,"bcw","bana1305","bana1305","Africa","Africa","African Savannah","Africa"
982,"Pamona","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Pamona","regular",120.83,-1.75,"FALSE","spoken",,,,,"Pamona, Pamona",,"pmf","pamo1252","pamo1252","Eurasia","NG and Oceania","Oceania","Pacific"
983,"Bislama","Bislama",,,,,"Bislama","creole",168,-16,"FALSE","spoken",,,,"Bislama","Bislama, Bislama",,"bis","bisl1239","bisl1239","Pacific","NG and Oceania","Oceania","Pacific"
984,"Bade","Chadic","Bade","West Chadic","Afroasiatic","West - B (West Chadic)","Bade","regular",10.5,12.83,"FALSE","spoken",,,,,"Bade, Bade",,"bde","bade1248","bade1248","Africa","Africa","African Savannah","Africa"
985,"Kurdish (Central)","Indo-European",,"Indo-Iranian","Indo-Uralic","Iranian","Kurdish (Central)","regular",44,36,"FALSE","spoken",,"Northwest Iranian",,,"Kurdish (Central), Kurdish (Central)",,"ckb","cent1972","cent1972","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
986,"Baka (Sudan)","Bongo-Bagirmi",,,"Central Sudanic",,"Baka (Sudan)","regular",29.25,4.83,"FALSE","spoken",,,,"Bongo-Bagirmi","Baka (Sudan), Baka (Sudan)",,"bdh","baka1274","baka1274","Africa","Africa","African Savannah","Africa"
987,"Budukh","Nakh-Daghestanian","Southern Samurian","Daghestanian",,"Lezgian","Budukh","regular",48.37,41.19,"FALSE","spoken","Caucasus","Samurian (core Lezgian)",,,"Budukh, Budukh",,"bdk","budu1248","budu1248","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
988,"Bajau","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Bajau","regular",123,-4.33,"FALSE","spoken",,,,,"Bajau, Bajau","hunting/fishing/foraging","bdl","indo1317","indo1317","Eurasia","NG and Oceania","Oceania","Pacific"
989,"Buduma","Chadic",,"Biu-Mandara (Central Chadic)","Afroasiatic",,"Buduma","regular",14.5,13.5,"FALSE","spoken",,,,,"Buduma, Buduma",,"bdm","budu1265","budu1265","Africa","Africa","African Savannah","Africa"
990,"Bahnar (Plei Bong-Mang Yang)","Austroasiatic",,"Eastern Mon-Khmer",,"Bahnaric","Bahnar (Plei Bong-Mang Yang)","regular",108.33,13.83,"FALSE","spoken",,,,,"Bahnar (Plei Bong-Mang Yang), Bahnar (Plei Bong-Mang Yang)",,"bdq","bahn1262","bahn1262","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
991,"Burunge","Cushitic",,"Southern Cushitic","Afroasiatic",,"Burunge","regular",36,-5.33,"FALSE","spoken",,,,,"Burunge, Burunge",,"bds","buru1320","buru1320","Africa","Africa","S Africa","Africa"
992,"Bakundu","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Bakundu, Oroko, Lue","regular",9.33,4.83,"FALSE","spoken",,,,,"Bakundu, Bakundu, Oroko, Lue",,"bdu","orok1266","orok1266","Africa","Africa","African Savannah","Africa"
993,"Benabena","Eastern Highlands",,"Gorokan","East New Guinea Highlands",,"Benabena","regular",145.5,-6.17,"FALSE","spoken",,,,,"Benabena, Benabena",,"bef","bena1264","bena1264","Pacific","NG and Oceania","Interior New Guinea","Pacific"
994,"Beembe","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Beembe, Bembe","regular",14.08,-3.92,"FALSE","spoken",,,,,"Beembe, Beembe, Bembe",,"beq","beem1239","beem1239","Africa","Africa","S Africa","Africa"
995,"Bella Coola","Salishan",,,,,"Bella Coola","regular",-126.67,52.5,"FALSE","spoken",,,,"Salishan","Bella Coola, Bella Coola","hunting/fishing/foraging","blc","bell1243","bell1243","North America","W N America","Alaska-Oregon","Americas"
996,"Benga","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Benga, Bube-Benga","regular",9.42,1.17,"FALSE","spoken",,,,,"Benga, Benga, Bube-Benga",,"bng","beng1282","beng1282","Africa","Africa","African Savannah","Africa"
997,"Bété (Guiberoua)","Kru",,"East Kru","Niger-Congo",,"Bete Guiberoua, Bété","regular",-6.25,6.25,"FALSE","spoken",,,,,"Bété (Guiberoua), Bete Guiberoua, Bété",,"bet","guib1246","guib1246","Africa","Africa","African Savannah","Africa"
998,"Betawi","Melayu Betawi",,,,,"Melayu Betawi, Batavi, Batawi, Betawi Malay, Jakarta Malay, Melayu Jakarte","creole",107,-6.5,"FALSE","spoken",,,,"Melayu Betawi","Betawi, Melayu Betawi, Batavi, Batawi, Betawi Malay, Jakarta Malay, Melayu Jakarte",,"bew","beta1252","beta1252","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
999,"Jur Mödö","Bongo-Bagirmi",,,"Central Sudanic",,"Jur Modo, Morokodo, Jur Mödö, Modo","regular",30,6,"FALSE","spoken",,,,"Bongo-Bagirmi","Jur Mödö, Jur Modo, Morokodo, Jur Mödö, Modo",,"bex","jurm1239","jurm1239","Africa","Africa","African Savannah","Africa"
1000,"Bari","Nilotic",,"Eastern Nilotic","Eastern Sudanic","Bari","Bari","regular",31.67,5,"FALSE","spoken",,,,,"Bari, Bari",,"bfa","bari1284","bari1284","Africa","Africa","African Savannah","Africa"
1001,"Bafut","Benue-Congo",,"Bantoid","Niger-Congo","Grassfields Bantu","Bafut","regular",9.92,6.25,"FALSE","spoken",,,,,"Bafut, Bafut",,"bfd","bafu1246","bafu1246","Africa","Africa","African Savannah","Africa"
1002,"Badaga","Dravidian",,"South Dravidian",,"South Dravidian I","Badaga","regular",76.75,11.67,"FALSE","spoken",,,,,"Badaga, Badaga",,"bfq","bada1257","bada1257","Eurasia","S/SE Asia","Indic","Eurasia"
1004,"Bunan","Sino-Tibetan",,"West Himalayish",,"Greater Kinnauri","Bunan, Boonan, Bunan, Bunán, Erankad, Gahri, Gari, Ghara, Keylong Boli, Lahul, Lahuli of Bunan, Poonan, Punan","regular",77,32.5,"FALSE","spoken","Himalaya",,,,"Bunan, Bunan, Boonan, Bunan, Bunán, Erankad, Gahri, Gari, Ghara, Keylong Boli, Lahul, Lahuli of Bunan, Poonan, Punan",,"bfu","gahr1239","gahr1239","Eurasia","S/SE Asia","Indic","Eurasia"
1005,"Remo","Austroasiatic",,"Munda",,"Southern Munda","Remo","regular",82,18,"FALSE","spoken",,,,,"Remo, Remo","agricultural/pastoral","rem","bond1245","bond1245","Eurasia","S/SE Asia","Indic","Eurasia"
1006,"Balochi (Southern)","Indo-European",,"Indo-Iranian","Indo-Uralic","Iranian","Balochi, Baluci, Baloci, Baluchi","regular",64,26,"FALSE","spoken",,"Northwest Iranian",,,"Balochi (Southern), Balochi, Baluci, Baloci, Baluchi",,"bcc","sout2642","sout2642","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
1007,"Bagri","Indo-European",,"Indo-Iranian","Indo-Uralic","Indo-Aryan","Bagri","regular",74.33,29.58,"FALSE","spoken",,"Central Indo-Aryan",,,"Bagri, Bagri",,"bgq","bagr1243","bagr1243","Eurasia","S/SE Asia","Indic","Eurasia"
1008,"Banggai","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Banggai","regular",123.17,-1.42,"FALSE","spoken",,,,,"Banggai, Banggai",,"bgz","bang1368","bang1368","Eurasia","NG and Oceania","Oceania","Pacific"
1009,"Bhili","Indo-European",,"Indo-Iranian","Indo-Uralic","Indo-Aryan","Bhili","regular",73,22,"FALSE","spoken",,"Central Indo-Aryan",,,"Bhili, Bhili",,"bhb","bhil1251","bhil1251","Eurasia","S/SE Asia","Indic","Eurasia"
1010,"Binandere","Greater Binanderean",,"Binanderean",,"Nuclear Binanderean","Binandere","regular",148,-8.25,"FALSE","spoken",,,,,"Binandere, Binandere",,"bhg","bina1277","bina1277","Pacific","NG and Oceania","S New Guinea","Pacific"
1011,"Bhojpuri","Indo-European",,"Indo-Iranian","Indo-Uralic","Indo-Aryan","Bhojpuri","regular",84,25.5,"FALSE","spoken",,"Central Indo-Aryan",,,"Bhojpuri, Bhojpuri",,"bho","bhoj1244","bhoj1244","Eurasia","S/SE Asia","Indic","Eurasia"
1012,"Sign Language British","Sign Language British",,,,,"Sign Language British","regular",-1,52,"FALSE","signed",,,,"Sign Language British","Sign Language British, Sign Language British",,"bfi","brit1235","brit1235","Eurasia","W and SW Eurasia","Europe","Eurasia"
1013,"Bima","Austronesian",,"Malayo-Polynesian",,"Central Malayo-Polynesian non-clade","Bima","regular",118.5,-8.5,"FALSE","spoken",,,,,"Bima, Bima",,"bhp","bima1247","bima1247","Eurasia","NG and Oceania","Oceania","Pacific"
1014,"Biak","Austronesian",,"Malayo-Polynesian",,"South Halmahera-Western New Guinea (SHWNG)","Biak","regular",136,-1,"FALSE","spoken",,,,,"Biak, Biak","hunting/fishing/foraging","bhw","biak1248","biak1248","Eurasia","NG and Oceania","N Coast New Guinea","Pacific"
1015,"Badimaya","Pama-Nyungan",,"Southwestern Pama-Nyungan","Macro-Pama-Nyungan","Wajari","Badimaya","regular",118,-27.67,"FALSE","spoken",,,,,"Badimaya, Badimaya","hunting/fishing/foraging","bia","badi1246","badi1246","Australia","Australia","S Australia","Pacific"
1016,"Bisa","Mande",,"East Mande","Macro-Niger-Congo",,"Bisa","regular",-0.5,11.5,"FALSE","spoken",,,,,"Bisa, Bisa",,"bib","biss1248","biss1248","Africa","Africa","African Savannah","Africa"
1017,"Bidiya","Chadic",,"East Chadic","Afroasiatic",,"Bidiya","regular",18.75,11.92,"FALSE","spoken",,,,,"Bidiya, Bidiya",,"bid","bidi1241","bidi1241","Africa","Africa","African Savannah","Africa"
1018,"Biafada","North Atlantic",,,"Macro-Niger-Congo",,"Biafada","regular",-15.17,11.42,"FALSE","spoken",,,,"North Atlantic","Biafada, Biafada",,"bif","biaf1240","biaf1240","Africa","Africa","African Savannah","Africa"
1019,"Bisu","Sino-Tibetan",,"Lolo-Burmese",,"Loloish","Bisu","regular",100,19.75,"FALSE","spoken",,"Southern Loloish",,,"Bisu, Bisu",,"bzi","bisu1244","bisu1244","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
1020,"Bimoba","Gur",,"North Gur","Niger-Congo",,"Bimoba","regular",0,10.5,"FALSE","spoken",,,,,"Bimoba, Bimoba",,"bim","bimo1239","bimo1239","Africa","Africa","African Savannah","Africa"
1021,"Bira","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Bira","regular",28.75,1,"FALSE","spoken",,,,,"Bira, Bira",,"brf","bera1259","bera1259","Africa","Africa","S Africa","Africa"
1022,"Bilaan","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Bilaan, Blaan","regular",125.33,6,"FALSE","spoken",,,,,"Bilaan, Bilaan, Blaan",,"bps","sara1326","sara1326","Eurasia","S/SE Asia","Oceania","Eurasia"
1023,"Banggarla","Pama-Nyungan",,"Southwestern Pama-Nyungan","Macro-Pama-Nyungan","Yura","Banggarla","regular",137,-32,"FALSE","spoken",,,,,"Banggarla, Banggarla",,"bjb","bang1339","bang1339","Australia","Australia","S Australia","Pacific"
1024,"Bahinemo","Sepik",,"Sepik Hill",,,"Bahinemo","regular",142.83,-4.58,"FALSE","spoken",,,,,"Bahinemo, Bahinemo","hunting/fishing/foraging","bjh","bahi1254","bahi1254","Pacific","NG and Oceania","N Coast New Guinea","Pacific"
1025,"Burji","Cushitic",,"Eastern Cushitic","Afroasiatic",,"Burji","regular",37.83,5.5,"FALSE","spoken",,,,,"Burji, Burji",,"bji","burj1242","burj1242","Africa","Africa","Greater Abyssinia","Africa"
1026,"Binumarien","Eastern Highlands",,"Kainantu","East New Guinea Highlands",,"Binumarien","regular",146.08,-6.28,"FALSE","spoken",,,,,"Binumarien, Binumarien",,"bjr","binu1245","binu1245","Pacific","NG and Oceania","Interior New Guinea","Pacific"
1027,"Balanta","North Atlantic",,,"Macro-Niger-Congo",,"Balanta","regular",-15.33,12.25,"FALSE","spoken",,,,"North Atlantic","Balanta, Balanta",,"bjt","bala1302","bala1302","Africa","Africa","African Savannah","Africa"
1028,"Dharumbal","Pama-Nyungan",,"Waka-Kabic","Macro-Pama-Nyungan",,"Bayali","regular",150.5,-22.75,"FALSE","spoken",,,,,"Dharumbal, Bayali",,"bjy","baya1257","baya1257","Australia","Australia","S Australia","Pacific"
1029,"Baka (Cameroon)","Adamawa-Ubangi",,,"Niger-Congo",,"Baka (Cameroon)","regular",13.58,2.58,"FALSE","spoken",,,,"Adamawa-Ubangi","Baka (Cameroon), Baka (Cameroon)","hunting/fishing/foraging","bkc","baka1272","baka1272","Africa","Africa","African Savannah","Africa"
1030,"Binukid","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Binukid","regular",124.83,8.25,"FALSE","spoken",,,,,"Binukid, Binukid",,"bkd","binu1244","binu1244","Eurasia","S/SE Asia","Oceania","Eurasia"
1031,"Brokskat","Indo-European",,"Indo-Iranian","Indo-Uralic","Indo-Aryan","Brokskat","regular",76.5,35.33,"FALSE","spoken","Himalaya","Dardic (Northwestern Indo-Aryan)",,,"Brokskat, Brokskat",,"bkk","brok1247","brok1247","Eurasia","S/SE Asia","Indic","Eurasia"
1032,"Bikol","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Bikol, Bicolano","regular",123.5,13.33,"FALSE","spoken",,"Greater Central Philippine",,,"Bikol, Bikol, Bicolano",,"bik","biko1240","biko1240","Eurasia","S/SE Asia","Oceania","Eurasia"
1033,"Kom","Benue-Congo",,"Bantoid","Niger-Congo","Grassfields Bantu","Kom","regular",10.33,6.25,"FALSE","spoken",,,,,"Kom, Kom",,"bkm","komc1235","komc1235","Africa","Africa","African Savannah","Africa"
1034,"Bakairí","Cariban",,,,,"Bakairi,Bakairí","regular",-55,-14,"FALSE","spoken",,,"Carib","Cariban, Carib","Bakairí, Bakairi,Bakairí",,"bkq","baka1277","baka1277","South America","S America","NE South America","Americas"
1035,"Bilua","Bilua",,,,,"Bilua","regular",156.67,-7.75,"FALSE","spoken",,,,"Bilua","Bilua, Bilua",,"blb","bilu1245","bilu1245","Pacific","NG and Oceania","Oceania","Pacific"
1036,"Blackfoot","Algic",,"Algonquian",,,"Blackfoot","regular",-112.67,50,"TRUE","spoken",,,,,"Blackfoot, Blackfoot","hunting/fishing/foraging","bla","siks1238","siks1238","North America","E N America","Basin and Plains","Americas"
1037,"Bolia","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Bolia","regular",18.33,-1.25,"FALSE","spoken",,,,,"Bolia, Bolia",,"bli","boli1255","boli1255","Africa","Africa","S Africa","Africa"
1038,"Biloxi","Siouan",,,,,"Biloxi","regular",-88.67,30.5,"FALSE","spoken",,,,"Siouan","Biloxi, Biloxi","hunting/fishing/foraging","bll","bilo1248","bilo1248","North America","E N America","E North America","Americas"
1039,"Balangao","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Balangao, Balangaw, Balangao Bontok","regular",121.17,17.17,"FALSE","spoken",,,,,"Balangao, Balangao, Balangaw, Balangao Bontok",,"blw","bala1310","bala1310","Eurasia","S/SE Asia","Oceania","Eurasia"
1040,"Balantak","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Balantak","regular",123.25,-0.83,"FALSE","spoken",,,,,"Balantak, Balantak",,"blz","bala1315","bala1315","Eurasia","NG and Oceania","Oceania","Pacific"
