LID,Glottocode,Language,CohesionPatternLoc,MphmTypesInCohDomainProp,MphmTypesInCohPrefixDomainProp,MphmTypesInCohSuffixDomainProp,MphmTypesInCohStemDomainProp,MphmTypesInCohDomain,MphmTypesInCohDomainBinned77,CoherentEncliticBoundaryPresence,CoherentEnclEnclBoundaryPresence,CohPatternOutputOrigin,MphmTypesInCohDomainMultistemPresence,CohesionPatternLabel,CohesionPatternBinned18,CohesionPatternBinned12,CohesionPatternBinned4,CoherentPrefixBoundaryPresence,CoherentPrefixPrefixBoundaryPresence,CoherentPrefixStemBoundaryPresence,CoherentProclBoundaryPresence,CoherentProclPrefixBoundaryPresence,CoherentProclProcliticBoundaryPresence,CoherentProclStemBoundaryPresence,CohesionPatternDataSourceType,NumberMphmTypesInCohDomain,NumberMphmTypesInCohPrefixDomain,NumberMphmTypesInCohSuffixDomain,CoherentStemBoundaryPresence,CoherentStemEnclBoundaryPresence,CoherentStemEndoclBoundaryPresence,CoherentStemInfixBoundaryPresence,CoherentStemSuffixBoundaryPresence,CohesionPatternStressPresence,CohPatternStructurePreservingPresence,CoherentSuffixBoundaryPresence,CoherentSuffixEnclBoundaryPresence,CoherentSuffixSuffixBoundaryPresence,SurveyStatus,CohesionPatternType,MphmTypesInCohPrefixDomainPropBinned3,MphmTypesInCohSuffixDomainPropBinned3,MphmTypesInCohStemDomainPropBinned3
626,kinn1249,Kinnauri,spans,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,,subphrasal,"i-insertion (The close-front vowel /i/ inserted in this domain); this constraint is resolved by: vowel/syllable insertion (insertion of a vowel constituent; can include a syllabic vowel, thereby being same as syllable insertion)",insertion,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,,0,0,0,pword exhaustive,P Domain,low,low,low
626,kinn1249,Kinnauri,right edge,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,,subphrasal,final ablaut (The nucleus vowel alternates in this domain); this constraint is resolved by: ablaut/gradation (root vowel variations),process,process,segmental,0,0,0,,,,,,2,1,2,0,0,,,1,other,,0,0,0,pword exhaustive,P Domain,low,low,low
626,kinn1249,Kinnauri,right edge,0.5,0.5,0.6666666666666667,1,stem ± suffix,3,0,0,,subphrasal,*C if Obs (coda) (No obstruent coda consonants are permitted in this domain),constraint,constraint,segmental,0,0,0,,,,,,2,1,2,1,0,,,1,other,,0,0,1,pword exhaustive,P Domain,low,low,low
626,kinn1249,Kinnauri,spans,0.25,0.5,0.3333333333333333,1,stem,2,0,0,,subphrasal,*CC Onset (No onset consonant clusters are permitted at all in this domain (even though onset clusters are permitted elsewhere)),constraint,constraint,segmental,0,0,0,,,,,,1,1,1,1,0,,,0,other,,0,0,0,pword exhaustive,P Domain,low,low,low
463,nucl1310,Burmese,Min Domain,0.5,0.5,0.6666666666666667,1,stem ± suffix,3,0,0,Lexical,subphrasal,"Min Bimora, General (This domain must minimally be bimoraic (CV: or CVC))",size_related,size_related,size_related,0,0,0,,,,,Other published sources,2,1,2,1,0,,,1,other,structure_preserving,0,0,1,pword exhaustive (double-checked),P Domain,low,low,low
463,nucl1310,Burmese,right edge,0.75,1,1,8,root1 ± root2 ± suffix,19,,,Lexical,phrasal,*CV syllable type (* light syll) (Light syllables are banned/do not occur in this domain),constraint,constraint,segmental,,,,,,,,Other published sources,3,2,3,1,,,,1,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,high
463,nucl1310,Burmese,right edge,0.75,1,1,8,root1 ± root2 ± suffix,19,,,Lexical,phrasal,*C Unless ʔ (No coda in this domain unless glottal stop ʔ),constraint,constraint,segmental,,,,,,,,Other published sources,3,2,3,1,,,,1,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,high
463,nucl1310,Burmese,right edge,0.75,1,1,8,root1 ± root2 ± suffix,19,,,Lexical,phrasal,*C Unless Nasal (No codas are permitted in this domain unless they are nasal manner (place unspecified)),constraint,constraint,segmental,,,,,,,,Other published sources,3,2,3,1,,,,1,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,high
463,nucl1310,Burmese,left edge,0.75,1,1,8,root1 ± root2 ± suffix,19,,,Lexical,phrasal,"Initial CV required (light syll) (In this domain if polysyllable, the initial syllable must be monomoraic/light)",constraint,constraint,segmental,,,,,,,,Other published sources,3,2,3,1,,,,1,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,high
463,nucl1310,Burmese,right edge,0.75,1,1,8,root1 ± root2 ± suffix,19,,,Lexical,phrasal,*V if schwa (in this domain schwa is banned/does not occur),constraint,constraint,segmental,,,,,,,,Other published sources,3,2,3,1,,,,1,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,high
463,nucl1310,Burmese,spans,0.75,1.5,1,8,root1 + root2 ± root3,99,,,Lexical,phrasal,"Plosive C voicing assimilation (In this domain there is a voicing assimilation of plosive consonants, in a preservative direction); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,,,,,,,,Other published sources,3,3,3,1,,,,,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,high
463,nucl1310,Burmese,left edge,0.5,1,0.6666666666666667,8,root1 + root2,22,,,Unknown,phrasal,Non-reducing vowel (In this domain vowels are non-reducing),constraint,constraint,segmental,,,,,,,,Other published sources,2,2,2,,,,,,other,non_structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,low,high
87,stan1295,German,spans,0.428571428571429,0.2,1,1,stem ± suffix ± postponed particle,50,0,1,Lexical,subphrasal,Coda C to Onset Resyllab (Resyllabification in this domain); this constraint is resolved by: resyllabification (consonant becomes member of a different syllable),process,process,segmental,0,0,0,0,0,0,0,Other published sources,3,1,3,1,1,,,1,other,structure_preserving,0,1,1,pword exhaustive (double-checked),P Domain,low,medium,low
87,stan1295,German,left edge,0.142857142857143,0.2,0.3333333333333333,1,stem,2,0,0,Lexical,subphrasal,*V if schwa (in this domain schwa is banned/does not occur),constraint,constraint,segmental,0,0,0,0,0,0,0,Written unpublished,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
463,nucl1310,Burmese,spans,0.75,1,1,2,stem1+ suff + stem2,19,,,Lexical,phrasal,"Plosive C voicing assimilation (In this domain there is a voicing assimilation of plosive consonants, in a preservative direction); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,,,,,,,,Other published sources,3,2,3,,,,,1,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,low
56,chuk1273,Chukchi,spans,0.833333333333333,1,0.75,1,stem ± prefix ± suffix ± entire circumfix,8,0,0,Lexical,subphrasal,"Vowel Harmony, Open/Height (There is a process of vowel quality (openness/height) assimilation/harmony across this domain); this constraint is resolved by: vowel assimilation, no other details (vowel assimilation, but no clear dominant factor)",vowel_harmony,process,segmental,0,1,1,0,0,0,0,Grammar Explicit,5,3,3,0,0,,,1,other,structure_preserving,0,0,1,pword exhaustive (double-checked),P Domain,medium,low,low
463,nucl1310,Burmese,spans,0.75,1.5,1,8,root1 + root2 ± root3,99,,,Lexical,phrasal,"Plosive C voicing assimilation (In this domain there is a voicing assimilation of plosive consonants, in a preservative direction); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,,,,,,,,Other published sources,3,3,3,1,,,,,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,medium,medium,high
501,mani1292,Meithei,spans,0.25,0,0.3333333333333333,0,suffix,21,0,0,Lexical,subphrasal,"Tone Upstep/Downstep, L to R (Tone either lowers or raises in this domain, direction is L to R); this constraint is resolved by: Tone change: general (Any tone change, further unspecified)",tone,tone,suprasegmental,,,,0,,0,0,Grammar Explicit,1,0,1,0,0,,,0,other,structure_preserving,1,0,0,pword exhaustive,P Domain,low,low,low
664,west2420,Kham,right edge,1,1,1,8,root + prefix + suffix,18,,,Lexical,subphrasal,Tone Downstep/Lowering (A general tone downstep or lowering applies in this domain); this constraint is resolved by: Tone Downstep/Fall--Regressive (the lowering of melodies of a form that follows the influencing form (based on what precedes)),tone,tone,suprasegmental,0,0,1,,,,,Grammar Explicit,3,2,2,0,,,,1,other,structure_preserving,0,,0,pword exhaustive,P Domain,medium,medium,high
664,west2420,Kham,spans,0.333333333333333,0.5,0,0,prefix,5,,,Lexical,subphrasal,"Single Tone Contour/Melody (A single (one and only one), contrastive pitch contour/melody spans this domain)",tone,tone,suprasegmental,1,1,0,,,,,Grammar Explicit,1,1,0,0,,,,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,low,low
664,west2420,Kham,spans,0.666666666666667,1,1,8,root1 + root2,22,,,Lexical,phrasal,"T-2 Lax Domain for Pitch Melody (In this domain there is a T-2 Lax feature that corresponds with pitch melody (a tone process)); this constraint is resolved by: Tone change: contour to M-L combo, regressive (a falling contour on one monomoraic syllable is realized as a M-L span across two monomoaric syllables in this domain (based on what precedes))",tone,tone,suprasegmental,,,,,,,,Grammar Explicit,2,2,2,,,,,,other,structure_preserving,,,,pword exhaustive,P Domain,medium,medium,high
690,mana1288,Manange,spans,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,"Single Tone Contour/Melody (A single (one and only one), contrastive pitch contour/melody spans this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",tone,tone,suprasegmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,medium,low,low
720,kyer1238,Tibetan (Kyirong),spans,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Non-Lexical,phrasal,nC ~ nC segment series alternation (In this domain there is a nasal + consonant alternation); this constraint is resolved by: nasal insertion (insertion of a nasal constituent),insertion,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
720,kyer1238,Tibetan (Kyirong),right edge,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,"CV:~ and CVCnas Alternation (Rhyme/coda type alternation in this domain: specifically, a CV: with nasalised vowel quality will alternate with a CVC syllable where coda is a nasal segment)",assimilation,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
720,kyer1238,Tibetan (Kyirong),right edge,0.5,0.5,0.6666666666666667,1,stem ± suffix,3,0,0,Lexical,subphrasal,"Contour Tone Neutralization (A contour tone neutralizes (perhaps defaults to level or other) in this domain); this constraint is resolved by: feature loss/neutralization (for example, the delinking or loss of a particular tone feature (high falling > high), but not loss of tone altogether)",weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,1,0,,,1,other,structure_preserving,0,0,1,pword exhaustive (double-checked),P Domain,low,low,low
720,kyer1238,Tibetan (Kyirong),medial,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,"Obs Voicing Assim (An obstruent assimilates for voicing/phonaton/laryngeal features of adjacent segment in this domain; maybe ambi, but seems to be a more general process); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,Voiceless Aspirated Affricate Lenition (In this domain there is a process of lenition applying to voiceless aspirated affricates); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,Voiceless Retroflex Affricate Lenition (In this domain there is a process of voiceless retroflex affricate lenition); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,voiceless alveolar fricative lenition (In this domain there is a process of voiceless alveolar fricative lenition); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Unknown,subphrasal,*C if g (No /g/ onset in this domain),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
723,kham1282,Tibetan (Dege),medial,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Unknown,subphrasal,*C if voiceless alv. nasal (The voiceless alveolar nasal is banned in this domain/does not occur),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
723,kham1282,Tibetan (Dege),medial,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,*C if kʰ (No kʰ onset in this domain); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
723,kham1282,Tibetan (Dege),medial,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Unknown,subphrasal,*C if nʈʂ (This prenasalized affricate (voiceless retroflex) is banned in this domain),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,*C if xʰ (No xʰ onset in this domain (unvoiced aspirated velar fricative)); this constraint is resolved by: deaspiration (process where aspiration feature deleted/disassociated from a constituent),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Unknown,phrasal,*C if nɖʑ (No nɖʑ onset in this domain (prenasalised voiced retroflex affricate)),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,*C if Cʰ (No Cʰ onset in this domain (unvoiced aspirated palatal plosive)); this constraint is resolved by: deaspiration (process where aspiration feature deleted/disassociated from a constituent),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,*C if sʰ (No sʰ onset in this domain (aspirated voiceless alveolar fricative)); this constraint is resolved by: deaspiration (process where aspiration feature deleted/disassociated from a constituent),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Unknown,phrasal,*C if b (No /b/ onset in this domain); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
723,kham1282,Tibetan (Dege),medial,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Unknown,phrasal,*C if ntʰ (No ntʰ onset in this domain (prenasalised aspirated dental plosive)),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
720,kyer1238,Tibetan (Kyirong),right edge,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,Tone Defaults to H (In this domain a particular tone defaults to HIGH),tone,tone,suprasegmental,0,0,0,,,,,Grammar Explicit,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,medium,low,low
682,yuca1254,Yucatec,spans,0.333333333333333,0.5,0.5,1,stem,2,,,,subphrasal,Particle Host Word (This domain in its entirety must host particles or a particular particle (to be specified in strata)),morphosyntactic,morphosyntactic,morphosyntactic,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,,,0,,0,not yet exhaustive,G Domain,low,low,low
87,stan1295,German,left edge,0.142857142857143,0.2,0.3333333333333333,1,stem,2,0,0,Lexical,subphrasal,st > [ʃt] alternation ([st] and [ʃt] alternate in this domain); this constraint is resolved by: palatalization (assimilation or association of ‘feature’ PALATAL from one constituent to another; or surfacing of ‘feature’ palatal as a resolution),allophony,allophony,segmental,0,0,0,0,0,0,0,p.c.,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
1772,gugu1255,Guugu Yimidhirr,medial,0.666666666666667,1,0.6666666666666667,1,stem + suffix,3,0,0,,subphrasal,V: (Vowel lengthening) (In this domain a vowel is lengthened); this constraint is resolved by: Vowel Lengthening (a vowel is lengthened under these conditions),quantity,quantity,suprasegmental,,,,,,,,Other published sources,2,1,2,0,0,,,1,other,,0,0,0,not yet exhaustive,P Domain,medium,low,low
1772,gugu1255,Guugu Yimidhirr,right edge,0.333333333333333,1,0.3333333333333333,1,stem,2,0,0,,subphrasal,*V: (Long vowels banned in this domain),quantity,quantity,suprasegmental,,,,,,,,Other published sources,1,1,1,1,0,,,0,other,,0,0,0,not yet exhaustive,P Domain,medium,low,low
886,hame1242,Hamer,right edge,1,1,1,0.888888888888889,root + suffix,3,,,,subphrasal,"*C.C alv-nas sequence (Constraint/resolution targets onset in this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,,,,,,,,Other published sources,2,1,2,0,,,,1,other,,0,,0,not yet exhaustive,P Domain,medium,medium,low
886,hame1242,Hamer,right edge,1,1,1,0.888888888888889,root + suffix,3,,,,subphrasal,"*C.C non-homorg nasal sequence (Constraint/resolution targets onset in this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",assimilation,process,segmental,,,,,,,,Other published sources,2,1,2,0,,,,1,other,,0,,0,not yet exhaustive,P Domain,medium,medium,low
886,hame1242,Hamer,left edge,1,1,1,0.888888888888889,root + suffix,3,,,,subphrasal,"*C.C nas-alveolar sequence (Constraint/resolution targets coda in this domain); this constraint is resolved by: anticipatory spread/assimilation (extension of association of feature(s) of one constituent to another, based on what follows (“regressive”))",assimilation,process,segmental,,,,,,,,Other published sources,2,1,2,0,,,,1,other,,0,,0,not yet exhaustive,P Domain,medium,medium,low
886,hame1242,Hamer,spans,1,1,1,0.888888888888889,root + suffix,3,,,,subphrasal,*C.C non nasals sequence (Constraint/resolution targets coda in this domain); this constraint is resolved by: Metathesis (segments in a string alternate/switch in their linear ordering (e.g. st > ts)),dissimilation,process,segmental,,,,,,,,Other published sources,2,1,2,0,,,,1,other,,0,,0,not yet exhaustive,P Domain,medium,medium,low
886,hame1242,Hamer,spans,1,1,1,0.888888888888889,root + suffix,3,,,,subphrasal,*C.C if C2 nasal (Constraint/resolution targets coda in this domain); this constraint is resolved by: Metathesis (segments in a string alternate/switch in their linear ordering (e.g. st > ts)),dissimilation,process,segmental,,,,,,,,Other published sources,2,1,2,0,,,,1,other,,0,,0,not yet exhaustive,P Domain,medium,medium,low
77,fiji1243,Fijian (Boumaa),spans,0.5,0.3333333333333333,1,8,root ± suffix,3,,,Lexical,subphrasal,*V: (Long vowels banned in this domain); this constraint is resolved by: Vowel Shortening (a vowel is shortened under these conditions),quantity,quantity,suprasegmental,0,0,0,0,0,0,0,Grammar Explicit,2,1,2,1,,,,1,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,high
77,fiji1243,Fijian (Boumaa),spans,0.5,0.3333333333333333,1,8,root ± suffix,3,,,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,0,0,0,0,0,0,Grammar Explicit,2,1,2,1,,,,1,stress-related,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,high
77,fiji1243,Fijian (Boumaa),spans,0.5,0,0,0,particle + particle,54,,,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,0,0,0,0,1,0,Grammar Explicit,2,0,0,0,,,,0,stress-related,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
77,fiji1243,Fijian (Boumaa),Min Domain,0.5,0,0,0,particle + particle,54,,,Lexical,subphrasal,"Min Bimora, General (This domain must minimally be bimoraic (CV: or CVC))",size_related,size_related,size_related,0,0,0,0,0,1,0,Grammar Explicit,2,0,0,0,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
77,fiji1243,Fijian (Boumaa),spans,0.75,0.6666666666666667,1,8,root + prefix + suffix,18,,,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: Dipththong Formation (Two vowels merge into a single syllable that has a diphthong)",weakening,process,segmental,0,0,1,0,0,0,0,Grammar Explicit,3,2,2,0,,,,1,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,high
74,stan1293,English,left edge,0.5,1,0.6666666666666667,2,stem + stem,22,,0,Lexical,phrasal,"[s, z] >  [ʃ, ʒ] (These two coda consonants alter in voicing features in this domain); this constraint is resolved by: palatalization (anticipatory) (assimilation/spread of PALATAL based on what follows (”regressive”))",assimilation,process,segmental,0,0,0,,,,,Other published sources,2,2,2,0,0,,,0,other,structure_preserving,0,0,0,not yet exhaustive,P Domain,medium,low,low
74,stan1293,English,left edge,0.5,1,0.3333333333333333,1,stem + preposed particle,51,0,0,Lexical,subphrasal,"[s, z] >  [ʃ, ʒ] (These two coda consonants alter in voicing features in this domain); this constraint is resolved by: palatalization (anticipatory) (assimilation/spread of PALATAL based on what follows (”regressive”))",assimilation,process,segmental,0,0,0,,,,,Other published sources,2,2,1,0,0,,,0,other,structure_preserving,0,0,0,not yet exhaustive,P Domain,medium,low,low
74,stan1293,English,spans,0.5,0.5,0.6666666666666667,1,stem + postposed particle,49,0,0,Lexical,subphrasal,"rhotic insertion (/r/ is inserted in this domain, not sure of syllable membership); this constraint is resolved by: rhotic insertion (addition of rhotic consonant)",insertion,process,segmental,0,0,0,,,,,Other published sources,2,1,2,0,1,,,0,other,structure_preserving,0,0,0,not yet exhaustive,P Domain,low,low,low
79,stan1290,French (colloquial),right edge,1,1,0.6666666666666667,1,stem ± prefix ± suffix ± particle,55,0,1,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,1,1,,,,,Other published sources,4,2,2,1,1,,,1,stress-related,structure_preserving,0,1,1,pword exhaustive,P Domain,medium,low,low
107,hung1274,Hungarian,spans,0.75,0.5,1,1,Stem ± Suffix ± Semirestricted,94,0,1,,subphrasal,"Vowel Harmony (There is an unspecified type of vowel harmony in this domain); this constraint is resolved by: assimilation (assimilation or association of some feature, other features unknown or irrelevant)",vowel_harmony,process,segmental,0,0,0,,,,,Other published sources,3,1,3,1,1,,,1,other,,0,1,1,not yet exhaustive,P Domain,low,medium,low
107,hung1274,Hungarian,left edge,0.5,0.5,0.6666666666666667,1,stem ± suffix,3,0,0,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,0,0,,,,,Other published sources,2,1,2,1,0,,,1,stress-related,structure_preserving,0,0,1,not yet exhaustive,P Domain,low,low,low
107,hung1274,Hungarian,left edge,0.5,1,0.6666666666666667,2,stem ± stem,22,,,Lexical,phrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,0,0,,,,,Other published sources,2,2,2,1,0,,,0,stress-related,structure_preserving,0,,0,not yet exhaustive,P Domain,medium,low,low
464,mode1248,Greek (modern),left edge,0.5,0.3333333333333333,0,0,POSwd (preposed) + stem,28,,,Lexical,phrasal,"*Cnasal, Cfricative series (Nasal coda may not occur in this domain); this constraint is resolved by: consonant deletion (removal of a consonant constituent)",deletion,process,segmental,,,,,,,,Other published sources,2,1,0,,,,,,other,structure_preserving,,,,pword exhaustive,P Domain,low,low,low
464,mode1248,Greek (modern),left edge,0.5,0.6666666666666667,0.5,1,prefix + stem,4,,,Unknown,subphrasal,"Nasal P.O.A. Assimilation (Coda nasal POA assim in this domain); this constraint is resolved by: anticipatory spread/assimilation (extension of association of feature(s) of one constituent to another, based on what follows (“regressive”))",assimilation,process,segmental,0,0,1,0,0,0,0,Other published sources,2,2,1,0,,,,0,other,non_structure_preserving,0,,0,pword exhaustive,P Domain,low,low,low
464,mode1248,Greek (modern),left edge,0.5,0.3333333333333333,0,0,POSwd (preposed) + stem,28,,,Unknown,phrasal,"Nasal P.O.A. Assimilation (Coda nasal POA assim in this domain); this constraint is resolved by: anticipatory spread/assimilation (extension of association of feature(s) of one constituent to another, based on what follows (“regressive”))",assimilation,process,segmental,,,,,,,,Other published sources,2,1,0,,,,,,other,non_structure_preserving,,,,pword exhaustive,P Domain,low,low,low
464,mode1248,Greek (modern),left edge,0.5,0.3333333333333333,0,0,POSwd (preposed) + stem,28,,,Lexical,phrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,,,,,,,,Other published sources,2,1,0,,,,,,other,structure_preserving,,,,pword exhaustive,P Domain,low,low,low
725,ital1282,Italian,left edge,0.666666666666667,0.5,1,1,stem + postposed particle,49,,,,subphrasal,"*V if mid: e, o (/e, o/ are banned here/do not occur in this domain); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion)",deletion,process,segmental,0,0,0,,,,,Other published sources,2,1,2,0,,,,0,other,,0,,0,not yet exhaustive,P Domain,low,medium,low
